game_id,n_opoints,holds,singleholds,holds_percent,singleholds_percent,win_team,lose_team,division,score,tournament,game_type,year
1,13,10,4,0.77,0.31,sf_fury,bos_brutesquad,womens,14-13,Nationals,final,2017
2,11,7,3,0.64,0.27,bos_brutesquad,den_mollybrown,womens,12-10,Nationals,semi-final,2017
3,6,6,2,1.00,0.33,sf_fury,atl_ozone,womens,15-5,Nationals,semi-final,2017
4,8,7,5,0.88,0.63,sf_revolver,aus_doublewide,mens,15-10,Nationals,final,2017
5,11,9,7,0.82,0.64,sf_revolver,ral_ringoffire,mens,15-14,Nationals,semi-final,2017
6,8,5,3,0.63,0.38,aus_doublewide,dc_truckstop,mens,15-10,Nationals,semi-final,2017
7,12,9,3,0.75,0.25,sea_mixtape,phi_amp,mixed,13-12,Nationals,final,2017
8,11,10,7,0.91,0.64,sea_mixtape,bos_slowwhite,mixed,15-11,Nationals,semi-final,2017
9,12,9,5,0.75,0.42,phi_amp,sea_bfg,mixed,15-11,Nationals,semi-final,2017
10,11,9,8,0.82,0.73,sea_riot,bos_brutesquad,womens,15-10,Pro Championships,final,2017
11,11,9,8,0.82,0.73,sf_revolver,chi_machine,mens,15-10,Pro Championships,final,2017
12,14,11,8,0.79,0.57,sea_mixtape,sf_blackbird,mixed,15-13,Pro Championships,final,2017
13,14,12,10,0.86,0.71,col_revolution,den_mollybrown,womens,15-13,US Open,final,2017
14,11,9,8,0.82,0.73,sea_sockeye,sf_revolver,mens,15-10,US Open,final,2017
15,11,8,4,0.73,0.36,sea_mixtape,min_dragnthrust,mixed,15-10,US Open,final,2017
16,11,8,5,0.73,0.45,bos_brutesquad,sea_riot,womens,12-11,Nationals,final,2016
17,15,8,7,0.53,0.47,sea_riot,sf_fury,womens,15-14,Nationals,semi-final,2016
18,10,8,6,0.80,0.60,bos_brutesquad,den_mollybrown,womens,14-9,Nationals,semi-final,2016
19,13,10,9,0.77,0.69,bos_ironside,sf_revolver,mens,14-13,Nationals,final,2016
20,13,8,7,0.62,0.54,sf_revolver,ral_ringoffire,mens,13-12,Nationals,semi-final,2016
21,12,10,7,0.83,0.58,bos_ironside,den_johnnybravo,mens,15-11,Nationals,semi-final,2016
22,11,7,5,0.64,0.45,bos_slowwhite,ct_metronorth,mixed,15-11,Nationals,final,2016
23,10,8,5,0.80,0.50,bos_slowwhite,min_dragnthrust,mixed,15-9,Nationals,semi-final,2016
24,12,8,6,0.67,0.50,ct_metronorth,sf_mischief,mixed,14-11,Nationals,semi-final,2016
28,8,8,4,1.00,0.50,bos_brutesquad,sea_riot,womens,14-7,US Open,final,2016
29,13,12,5,0.92,0.38,chi_machine,sea_sockeye,mens,15-12,US Open,final,2016
30,14,10,6,0.71,0.43,bos_slowwhite,sea_mixtape,mixed,15-10,US Open,final,2016
31,13,11,7,0.85,0.54,sf_fury,bos_brutesquad,womens,14-13,Nationals,final,2018
32,8,8,7,1.00,0.88,ny_pony,sf_revolver,mens,15-7,Nationals,final,2018
33,9,9,8,1.00,0.89,phi_amp,sea_mixtape,mixed,15-8,Nationals,final,2018
